y_true,p_default,credit_amount,duration,decision,risk_band,exp_cost_if_approve,exp_cost_if_reject,monthly_burden,expected_loss,realised_loss
0,0.2141078542100444,1913.0,18.0,REJECT,Medium,1.070539271050222,0.7858921457899556,106.27777777777777,245.752995062289,0.0
0,0.0819799094409334,1860.0,12.0,APPROVE,Low,0.40989954720466704,0.9180200905590666,155.0,91.48957893608168,0.0
1,0.7456490577051437,1024.0,24.0,REJECT,High,3.7282452885257182,0.25435094229485633,42.666666666666664,458.12678105404024,0.0
0,0.4252090382122674,3104.0,18.0,REJECT,High,2.126045191061337,0.5747909617877326,172.44444444444446,791.9093127665269,0.0
1,0.1855930188196659,2520.0,27.0,REJECT,Medium,0.9279650940983295,0.814406981180334,93.33333333333333,280.61664445533484,0.0
0,0.2685416777223549,882.0,13.0,REJECT,Medium,1.3427083886117743,0.7314583222776452,67.84615384615384,142.1122558506702,0.0
0,0.164798096467596,3612.0,18.0,REJECT,Medium,0.82399048233798,0.835201903532404,200.66666666666666,357.15043466457405,0.0
0,0.1027946607978809,1352.0,6.0,APPROVE,Low,0.5139733039894044,0.8972053392021191,225.33333333333334,83.38702883924098,0.0
0,0.3656567705277426,6260.0,18.0,REJECT,Medium,1.8282838526387128,0.6343432294722574,347.77777777777777,1373.4068301022012,0.0
0,0.1001134367117379,1322.0,11.0,APPROVE,Low,0.5005671835586896,0.8998865632882621,120.18181818181819,79.40997799975051,0.0
0,0.0523739429140544,2299.0,36.0,APPROVE,Low,0.261869714570272,0.9476260570859456,63.861111111111114,72.24461685564664,0.0
1,0.1878643785414729,4843.0,12.0,REJECT,Medium,0.9393218927073644,0.8121356214585271,403.5833333333333,545.8963111658119,0.0
0,0.0148404398807154,1544.0,4.0,APPROVE,Low,0.074202199403577,0.9851595601192846,386.0,13.748183505494747,0.0
1,0.1454390023483668,2570.0,27.0,REJECT,Low,0.727195011741834,0.8545609976516332,95.18518518518519,224.2669416211816,0.0
